Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /ocs/v2/user,9319,0,20,226.7812968487542,14.38499998766929,12504.670542024542,1216.0,15.529052009194915,0.0,20,22,25,27,44,840,4200,6300,8600,13000,13000
PROPFIND,PROPFIND /dav/files/,28675,0,21,240.9436827639185,14.802749996306375,12928.96787499194,4886.478326068003,47.783621243015794,0.0,21,24,26,29,47,810,4500,6400,11000,13000,13000
,Aggregated,37994,0,21,237.46999548846927,14.38499998766929,12928.96787499194,3986.199663104701,63.31267325221071,0.0,21,23,26,28,46,810,4500,6400,10000,13000,13000
